"Fecha,""Codigo"",""Concepto"",""Tipo"",""Documento"",""Oficina"",""Monto"",""Saldo"""
"27/05/2019,""001055"",""45959515-CAPREMCI-PT-creditos gye 23"",""D"",""0037191941"",""AG. NORTE"",""3,124.19"",""184,855.93"""
"27/05/2019,""001055"",""45878173-COSTO IVA  CASH-PT-179170037600"",""D"",""0000221442"",""SERVICIOS CENTRALE(S)"",""0.04"",""187,980.12"""
"27/05/2019,""001055"",""45878173-COSTO OPER CASH-PT-179170037600"",""D"",""0000221413"",""SERVICIOS CENTRALE(S)"",""0.36"",""187,980.16"""
"27/05/2019,""001055"",""45878180-COSTO IVA  CASH-PT-179170037600"",""D"",""0000221375"",""SERVICIOS CENTRALE(S)"",""0.09"",""187,980.52"""
"27/05/2019,""001055"",""45878180-COSTO OPER CASH-PT-179170037600"",""D"",""0000221339"",""SERVICIOS CENTRALE(S)"",""0.71"",""187,980.61"""
"27/05/2019,""001055"",""45879810-COSTO IVA  CASH-CB-179170037600"",""D"",""0000221294"",""SERVICIOS CENTRALE(S)"",""3.75"",""187,981.32"""
"27/05/2019,""001055"",""45879810-COSTO OPER CASH-CB-179170037600"",""D"",""0000221262"",""SERVICIOS CENTRALE(S)"",""31.25"",""187,985.07"""
"27/05/2019,""001055"",""45879810-COSTO IVA  CASH-CB-179170037600"",""D"",""0000221221"",""SERVICIOS CENTRALE(S)"",""0.86"",""188,016.32"""
"27/05/2019,""001055"",""45879810-COSTO OPER CASH-CB-179170037600"",""D"",""0000221183"",""SERVICIOS CENTRALE(S)"",""7.14"",""188,017.18"""
"27/05/2019,""001055"",""45925560-COSTO IVA  CASH-PT-179170037600"",""D"",""0000138796"",""SERVICIOS CENTRALE(S)"",""0.09"",""188,024.32"""
"27/05/2019,""001055"",""45925560-COSTO OPER CASH-PT-179170037600"",""D"",""0000138792"",""SERVICIOS CENTRALE(S)"",""0.71"",""188,024.41"""
"27/05/2019,""001055"",""45879810-COSTO IVA  CASH-CB-179170037600"",""D"",""0000138780"",""SERVICIOS CENTRALE(S)"",""0.16"",""188,025.12"""
"27/05/2019,""001055"",""45879810-COSTO OPER CASH-CB-179170037600"",""D"",""0000138773"",""SERVICIOS CENTRALE(S)"",""1.34"",""188,025.28"""
"27/05/2019,""001055"",""45879810-COSTO IVA  CASH-CB-179170037600"",""D"",""0000138766"",""SERVICIOS CENTRALE(S)"",""4.13"",""188,026.62"""
"27/05/2019,""001055"",""45879810-COSTO OPER CASH-CB-179170037600"",""D"",""0000138761"",""SERVICIOS CENTRALE(S)"",""34.37"",""188,030.75"""
"23/05/2019,""001045"",""45879810-CAPREMCI-CB-"",""C"",""0016744977"",""SERVICIOS CENTRALE(S)"",""952.31"",""188,065.12"""
"23/05/2019,""001055"",""45925560-CAPREMCI-PT-creditos gye 21"",""D"",""0001815450"",""AG. NORTE"",""5,988.57"",""187,112.81"""
"22/05/2019,""001045"",""45879810-CAPREMCI-CB-"",""C"",""0016502224"",""SERVICIOS CENTRALE(S)"",""909.70"",""193,101.38"""
